KEY,"English"
C_03_PROLOGUE,"[i]In the frozen trenches of Hoth, you fight valiantly to buy time for Echo Base to be evacuated. You can only watch as the shield generator is destroyed by the overwhelming Imperial AT-AT assault. You scramble to reach your transport, but the Empire breaks the Rebel lines and cuts off your escape. In the ensuing skirmish, your commander gives his life covering your retreat into the mountains.

In the days following the battle, a new Imperial general takes charge of hunting down survivors like yourselves. Separated from the rest of the Rebellion and running low on supplies, you plan a risky incursion back into Echo Base, now under Imperial control, to look for a way to rejoin the fleet....[/i]"
M_31_NAME,"Return to Echo Base"
M_31_DESC,"Intro"
M_31_INTRO,"[i]Wind-whipped ice stings your face as you trek across frozen fields back toward Echo Base.

""I can't feel my toes anymore,"" says Corporal Kish. You crossed paths with Kish and his superior officer, Lieutenant Talcon, a couple of days back. They had also been left behind in the evacuation. ""I don't know how much farther I can go,"" Kish adds.[/i]"
M_31_INTRO_2,"[i]""Keep moving those legs, soldier,"" says Talcon, a human female and the highest ranking officer in your small group of Rebels. She stops and turns to {0}. ""Take point for a while.""

As you continue to trudge forward, Talcon waits a moment to let Kish catch up. ""We're nearly at the trench line,"" she says with a reassuring pat on Kish's shoulder. ""We might be able to find a heater there to thaw us out a bit.""[/i]"
M_31_TILE_PLACE,"[i]A few minutes later, you come across what had been the front lines of the battle. The devastation seems worse than you remember.[/i]\n\nPlace tiles 03A, 04A, 06A, 09A, 11A, 12A, 18A, and 20A (3)."
M_31_CRATES,"[i]Several crates of supplies were left behind in the hasty retreat.[/i]\n\nPlace 4 crates."
M_31_DEPLOY_SNOWTROOPERS,"[i]""Let's see what's in those...,"" Lieutenant Talcon begins, but is interrupted by the sound of blaster fire. It's an Imperial ambush![/i]\n\nDeploy Snowtroopers (Regular)."
M_31_DEPLOY_STORMTROOPERS,"Deploy Stormtroopers (Regular)."
M_31_TURRET_PLACE,"[i]This laser turret looks pretty beat up, but appears to be in working order. It could be used against the Imperial patrol.[/i]\n\nPlace 2 blue Rebel mission tokens. {0}"
M_31_DEPLOY_REBELS,"[i]As you and your trooper companions ready your weapons to fight, Talcon presses a datachip into {0}'s hand.\n\n""Take this,"" she says. ""If something happens to me, you can find haven here. Tell them Myra sent you."" You don't have time to ask her to elaborate as you turn your attention to the Imperials.[/i]\n\nDeploy the Rebels and Echo Base Troopers (Regular)."
M_31_OBJECTIVE_UPDATED_1,"[i]You must take out the Imperials quickly before they can report your presence to their base.[/i]\n\n Objective Updated \n\n{0}"
M_31_OBJECTIVE_1,"Defeat all Imperial figures."
M_31_CRATE,"[i]A crate of provisions from the battle sits in the protection of the trench.[/i]\n\nA hero can interact with this crate to open it."
M_31_CRATE_BOULDERS,"[i]A crate marked ""Explosives"" sits near the pile of boulders.[/i]\n\nA hero can interact with this crate to open it."
M_31_CRATE_BOULDERS_OPEN,"[i]The crate is indeed packed with explosives.[/i]\n\nSearch the Supply deck and discard pile for up to 2 [i]Explosive[/i] Supply cards and gain those cards. Shuffle the Supply deck."
M_31_CRATE_SPEEDER,"[i]The cockpit of this crashed snowspeeder might have something useful in it.[/i]\n\nA hero can interact with this crate to open it."
M_31_BOULDERS_PLACE,"[i]You recall from your training that slow-moving objects are capable of penetrating energy shields. Perhaps you could put those boulders to good use.[/i]\n\nPlace 2 red Rebel mission tokens. {0} To do this, select a neutral mission token in the app."
M_31_BOULDERS,"[i]A pile of boulders sits precariously beside a crevasse, posing a danger to those who pass below. It'll take some muscle, but you could start an avalanche to crush anything unlucky enough to be caught in its way.[/i]\n\nSpaces containing neutral mission tokens are blocking terrain.\n\n{0}"
M_31_BOULDERS_RULES,"While the SC2-M Repulsor Tank occupies 1 or more spaces with a red Rebel mission token, a hero in a highlighted space can interact to attempt to start a landslide."
M_31_BOULDERS_NO_PUSH,"[i]A pile of boulders sits precariously beside a crevasse, posing a danger to those who pass below.[/i]\n\n{0}Spaces containing neutral mission tokens are blocking terrain."
M_31_BOULDERS_NO_PUSH_PLACE,"Place 4 neutral mission tokens. "
M_31_BOULDERS_TEST,"[i]You attempt to start a landslide.[/i]\n\nTest . After rolling, you may discard 1 [i]Explosive[/i] Supply card to add 2 to the test results."
M_31_BOULDERS_FAIL,"[i]You strain and struggle against the lowest boulders, hoping to start the slide, but they won't budge. Perhaps some explosives would help loosen up the rocks.[/i]"
M_31_BOULDERS_PASS,"[i]The rocks begin tumbling down into the crevasse below, smashing through the tank's shield and crushing it under their weight.[/i]\n\nThe SC2-M Repulsor Tank is defeated."
M_31_BOULDERS_DISCARD_TOKENS,"[i]With the tank defeated, all that remains is to finish off the rest of the patrol.[/i]\n\nDiscard the terminal and the red Rebel mission tokens."
M_31_TOW_CABLE,"[i]The tow cable on this downed snowspeeder appears to still be in working order. It might assist you in your plan, but will require a good eye in order to hit a moving target like the tank.[/i]\n\nA hero can interact with this terminal to fire the tow cable. (This does not require line of sight to the tank.)"
M_31_TOW_CABLE_TEST,"[i]You take aim at the tank and fire...[/i]\n\nTest ."
M_31_TOW_CABLE_FAIL,"[i]The tow cable misses wide as the tank turns out of the way. You reel it back in to try again.[/i]"
M_31_TOW_CABLE_PASS,"[i]The tow cable impacts the side of the tank with a magnetic [/i]thunk[i], bringing the vehicle to a lurching stop. The tank tries to break free, but the crashed speeder holds steady. Eventually the driver throttles down to keep from burning out the engine.[/i]\n\n{0}"
M_31_TOW_CABLE_ATTACHED,"[i]The repulsor tank is being held in place by the tow cable of this crashed snowspeeder.[/i]\n\n{0}"
M_31_TOW_CABLE_RETRACT,"A hero can interact with this terminal to push the tank."
M_31_TOW_CABLE_RETRACT_TEST,"[i]You attempt to use the tow cable to reposition the tank.[/i]\n\nTest ."
M_31_TOW_CABLE_RETRACT_PASS_1,"Push the SC2-M Repulsor Tank 1 space. In addition, you may rotate it once before or after this push."
M_31_TOW_CABLE_RETRACT_PASS,"Push the SC2-M Repulsor Tank up to 2 spaces. In addition, you may rotate it once during this push."
M_31_TOW_CABLE_RETRACT_FAIL,"Rotate the SC2-M Repulsor Tank or push it one space."
M_31_TURRET_RULES,"This is the turret. A Rebel can interact with a blue Rebel mission token (ignoring blocking terrain) to fire the turret at any Imperial figure on the map."
