KEY,"English"
TUT_NEW_1_NAME,"New Recruits – Part 1"
TUT_NEW_1_DESC,"[i]Join the Rebellion and learn to fight the tyrannical Empire![/i]\n\nThis is the app tutorial for players who are new to Imperial Assault."
TUT_NEW_1_DOUBLE_ACT_2P,"In two-player games, each [b]hero[/b] gets two [b]activations[/b] each round, indicated by the double portraits for each hero. When both heroes have taken their first activation, each hero becomes eligible to take its second. When both heroes have taken their second activation, the round ends."
TUT_NEW_1_DOUBLE_ACT_3P,"In three-player games, one [b]hero[/b] gets two [b]activations[/b] each round, indicated by the double portraits for that hero. When all heroes have taken their first activation, the hero with the double activation becomes eligible to take its second. When all four hero activations have been taken, the round ends and the extra activation passes to another hero."
TUT_NEW_1_HEROES_IN_PLACE,"Are all heroes in the spaces marked for them in the app?"
TUT_NEW_1_KISCH_WAIT,"[i]Corporal Kish waits for you to complete your current objective.[/i]\n\nCorporal Kish performs no actions during his [b]activation[/b]. End his activation in the app."
TUT_NEW_1_OVERVIEW_1,"In [i]Imperial Assault[/i], 1–4 players take part in an epic [i]Star Wars[/i] adventure! Each player controls his or her own hero of the Rebel Alliance, and you must all work together to accomplish the goals of the campaign that you are playing. The campaign is played over a series of missions, and though you might lose individual missions, the campaign will continue until it reaches its conclusion. The fate of the Rebel Alliance is in your hands!"
TUT_NEW_1_OVERVIEW_3,"This tutorial will teach you how to play [i]Star Wars: Imperial Assault — Legends of the Alliance[/i]. This tutorial only provides a broad overview of the rules. Terms in [b]bold text[/b] refer to specific entries in the [i]Imperial Assault[/i] Rules Reference Guide included in your core set, where you can find more information on those topics."
TUT_NEW_1_OBJECTIVE_LEARN,"(0 of 3) Learn how to play [i]Legends of the Alliance[/i]."
TUT_NEW_1_LOG,"If you need to review past messages, you can find them in the message log by selecting the indicated icon. The message log also displays your current objective. When you are done, select anywhere outside of the message log to close it."
TUT_NEW_1_SET_THE_SCENE,"[i]You had just arrived at the Rebel base on Yavin as new recruits when the Death Star came to destroy the moon. Now that the Death Star has been destroyed, nearly everyone on the planet is preparing to evacuate the base. You, however, are to undergo training to become soldiers and, perhaps one day, legends of the Alliance.[/i]\n\n[i]Italicized text[/i] tells the story of what is happening in the game. Non-italicized text is rules and explanatory text that instructs you about what to do."
TUT_NEW_1_COMPONENTS,"Missions in [i]Imperial Assault[/i] are played on maps made up of double-sided tiles. The app will tell you which tiles you should place and when. If you need help identifying any of the game’s pieces, check the component list in the Learn to Play document that came with your [i]Imperial Assault[/i] core game."
TUT_NEW_1_TILES,"Gather the following tiles for this mission:\n\n01A\n02A\n05A\n06A\n09A\n10A\n17A\n18A (3 tiles)"
TUT_NEW_1_MAP_SETUP,"[i]The air is hot and thick with humidity. The sounds of the dense, lively jungle surround you on all sides.[/i]\n\nPlace tiles 02A, 18A and 1 door on the table as indicated. Place a [b]door[/b] token in a plastic stand on the edge indicated by the door icon. You can move the map around the screen by dragging it. You can also zoom in and out on the map."
TUT_NEW_1_HERO_PLACE,"[i]You are standing in a courtyard, surrounded on two sides by vine-covered fences. Behind you is an ancient stone structure, repurposed by your fellow Rebels into a makeshift base.[/i]\n\nFor the purpose of this tutorial, your heroes have been preselected."
TUT_NEW_1_JYN_PLACE,"Place the Jyn Odan figure in the indicated space. Choose a player to play as Jyn Odan and give that player the [b]Hero[/b] sheet and [b]Class cards[/b] with Jyn’s picture on them. Place the hero sheet with the red background side facedown. Class cards can be earned by the heroes over the course of a campaign. For now, keep the class cards facedown."
TUT_NEW_1_GAARKHAN_PLACE,"Place the Gaarkhan figure in the indicated space. Choose a player to play as Gaarkhan and give that player the [b]Hero[/b] sheet and [b]Class cards[/b] with Gaarkhan’s picture on them."
TUT_NEW_1_FENN_PLACE,"Place the Fenn Signis figure in the indicated space. Choose a player to play as Fenn Signis and give that player the [b]Hero[/b] sheet and [b]Class cards[/b] with Fenn’s picture on them."
TUT_NEW_1_GIDEON_PLACE,"Place the Gideon Argus figure in the indicated space. Choose a player to play as Gideon Argus and give that player the [b]Hero[/b] sheet and [b]Class cards[/b] with Gideon’s picture on them."
TUT_NEW_1_KISCH_PLACE,"[i]""At attention, soldiers!"" a voice calls out. A uniformed human stands at the top of a set of stone stairs, looking down over you. ""My name is Corporal Kish. I’m here to get you into fighting shape. The Alliance needs all the fighters it can get if we’re ever going to overthrow the Empire.""[/i]\n\nPlace a Rebel Trooper token on the indicated space. This Rebel Trooper is Corporal Kish."
TUT_NEW_1_KISCH_PLACE_2,"Place the gray Rebel Trooper [b]Deployment card[/b] (red card back with the Rebel () symbol) on the table where all players can see it. Normally [b]allies[/b] like the Rebel Trooper will be under the players’ control, but for the purpose of this tutorial, the app will tell you what to do with Corporal Kish."
TUT_NEW_1_ROUNDS,"Missions are divided into a number of rounds. Within each round, each figure ([b]hero[/b] and [b]ally[/b]) gets to perform one or more [b]activations[/b]. The round ends when all figures have finished their activations. The order in which Rebels perform their activations is decided by the players."
TUT_NEW_1_ACTIVATION,"During a figure’s [b]activation[/b], that figure performs up to two [b]actions[/b]. A figure can perform the same action more than once during its activation."
TUT_NEW_1_KISCH_ACT_1,"[i]""Let’s get moving,"" Kish says. ""We’ve got some combat training to do.""[/i]\n\nCorporal Kish will activate first."
TUT_NEW_1_KISCH_MOVE_PTS,"[i]Kish walks down the stairs and stops next to the gate leading out of the courtyard.[/i]\n\nCorporal Kish’s first [b]action[/b] will be a move action (for more detail, see [b]Movement[/b] in the Rules Reference Guide). When a figure takes a move action, that figure gains [b]movement points[/b] equal to the figure’s Speed as denoted on its Hero sheet or [b]Deployment card[/b] (4 in the case of the Rebel Trooper). Those movement points may only be used during the figure’s current [b]activation[/b]."
TUT_NEW_1_KISCH_MOVE_1,"It costs 1 [b]movement point[/b] for a figure to move to an [b]adjacent[/b] space (orthogonal or diagonal). Colored lines like those highlighted indicate the presence of [b]terrain[/b]. Black and red lines (both solid and dashed) block movement."
TUT_NEW_1_KISCH_MOVE_FIGURES,"Move Corporal Kish as indicated. The highlighted spaces indicate the path Corporal Kish took to move to the [b]door[/b], moving through Jyn’s space on the way. Figures can move through (but not stop in) spaces containing other figures. Moving through a space with a [b]hostile figure[/b] costs 1 additional [b]movement point[/b]."
TUT_NEW_1_KISCH_DOOR,"[b]Doors[/b] are placed along edges and block [b]movement[/b] across those edges."
TUT_NEW_1_KISCH_INTERACT_1,"Tokens like this [b]door[/b] have their own rules that are defined by the mission. You can select a token on the map at any time to read the rules that apply to that token."
TUT_NEW_1_KISCH_INTERACT_2,"Above is the message you would see if you selected this [b]door[/b]. This door can be opened with an [b]interact[/b] action, as indicated by the "" Interact"" option. The arrow () icon indicates that this option requires an [b]action[/b]. To interact with a token, a figure must be on or [b]adjacent[/b] to the space containing that token.\n\nSelect the "" Interact"" option to have Corporal Kish open the door with his second action. You must close tutorial messages like this one before you can interact with other messages."
TUT_NEW_1_KISCH_DOOR_OPENED,"[i]Corporal Kish pushes the ancient metal gate open to reveal the lush, dense jungle beyond.[/i]\n\nOpen the door (remove the token from the map). Place tiles 01A, 05A, 06A, 09A, 10A, 17A, and 18A (2). Note that the (2) indicates you will be using two copies of the tile 18A on the map."
TUT_NEW_1_CRATES_PLACE,"[i]Several crates containing your gear await you on the other side of the gate.[/i]\n\nPlace {0} [b]crate tokens[/b] as indicated."
TUT_NEW_1_KISCH_FINISH_MOVE,"[i]Corporal Kish steps through the gate and motions for you to follow him.[/i]\n\nBecause Corporal Kish has one [b]movement point[/b] remaining, he can spend it now to move one more space. Move Corporal Kish as indicated."
