KEY,"English"
APP_TITLE,"Legends of the Alliance"
YOU_LOST,"You lost..."

UI_PRIVACYPOLICY,"Disney Privacy Policy"
UI_TODO,"TODO"
UI_NONE,"None"
UI_DEBUG,"Debug"
UI_PAUSE,"View Map"
UI_RESUME,"Activation"
UI_CONFRIM,"Confirm"
UI_SETUP_COMPLETE,"Setup complete."
UI_LANGUAGE,"Language"
UI_RESOLUTION,"Resolution"
UI_WINDOWED,"Windowed"
UI_SOUNDEFFECTS,"Sound Effects"
UI_AMBIENTMUSIC,"Ambient Music"
UI_PREVENT_SCREEN_SLEEP,"Prevent Screen Sleep"
UI_CONTINUE,"Continue"
UI_ACTIVATE,"Activated"
UI_ACTIVATED,"End turn"
UI_TAP_TO_CONTINUE,"Continue"
UI_TAP_TO_CANCEL,"Cancel"
UI_TAP_TO_RESET,"Reset"
UI_CONFIRM,"Confirm"
UI_CANCEL,"Cancel"
UI_AGREE,"Agree"
UI_RESOLVE,"Resolve"
UI_PLUS,"+"
UI_MINUS,"-"
UI_PASS,"Pass"
UI_FAIL,"Fail"
UI_INTERACT,"Interact"
UI_DEFEAT_OPTION,"Defeat"
UI_DESTROYED,"Destroyed"
UI_DESTROY,"Destroy"
UI_RETRIEVE,"Retrieve"
UI_RELEASE,"Release"
UI_ESCORT,"Escort"
UI_EXAMINE,"Examine"
UI_EXPLORE,"Explore"
UI_EXPLORE_SYMBOL," Explore"
UI_YES,"Yes"
UI_NO,"No"
UI_PICK_UP,"Pick Up"
UI_NO_ALLY,"No Ally"
UI_WARNING_NOALLY,"No ally available."
UI_WARNING_ALLYRESTRICTED,"Allies cannot be brought on this mission."
UI_SEARCH,"Search"
UI_WOUND_HERO,"Defeat {0}?"
UI_HERO_END_TURN_FORMATTED,"End {0}’s activation?"
UI_ENEMY_DEFEAT_CONFIRMATION_FORMATTED,"Defeat {0}?"
UI_ENEMY_MANUALLY_ACTIVATE_CONFIRMATION_FORMATTED,"Do you want to activate {0} now?"
UI_CLOSE,"Close"
UI_MENU,"MENU"
UI_OPTIONS,"Options"
UI_RESET_CAMERA,"Reset Camera"
UI_QUIT_CAMPAIGN,"Save & Quit"
UI_CREDITS,"Credits"
UI_AMOUNT_CREDITS,"{0} Credits"
UI_MEDPACS,"Medpacs"
UI_SUCCESS,"Pass"
UI_FAILURE,"Fail"
UI_VICTORY,"{0}: Victory!"
UI_DEFEAT,"{0}: Defeat"
UI_ITEM_GAINED,"Item Gained!"
UI_ITEM_NONE,"No Items..."
UI_INFO,"Info"
UI_LEAVE,"Leave"
UI_ENDING,"The End"
UI_MISSIONS_WON,"Missions won:"
UI_MISSIONS_LOST,"Missions lost:"
UI_PARTY_INVENTORY,"Squad Inventory"
UI_SHOP_INVENTORY,"Armory Inventory"
UI_CREDITS_TOTAL,"Total Credits:"
UI_CREDITS_FOUND,"Credits found:"
UI_CREDITS_REWARD,"Mission reward:"
UI_CREDITS_VICTORY,"Victory bonus:"
UI_FAME,"Fame"
UI_FAME_TOTAL,"Total Fame:"
UI_FAME_EARNED,"Fame earned:"
UI_FAME_ROUND_BONUS,"Round bonus:"
UI_FAME_SURVIVAL_BONUS,"Survival bonus:"
UI_NEW_HIGH_FAME_SCORE,"New high score!"
UI_TIED_HIGH_FAME_SCORE,"Tied high score!"
