KEY,"English"
CAM_TUT_NEW_OBJECTIVE_1,"Play mission ""New Recruits – Part 2."""
CAM_TUT_NEW_OBJECTIVE_2,"Play mission ""New Recruits – Part 3."""
CAM_TUT_NEW_OBJECTIVE_3,"Learn about campaigns."
CAM_TUT_NEW_OBJECTIVE_4,"Begin the encounter shown on the Campaign Map."
CAM_TUT_NEW_OBJECTIVE_5,"Begin ""The Smuggler Sidestep."""
CAM_TUT_NEW_INTRO,"This is the Campaign Map. You will return here each time you complete a mission. You will learn more about the campaign map after the third tutorial mission."
CAM_TUT_NEW_INTRO_2,"The app automatically saves your progress through the game when you start or complete a mission and at the end of each mission round. You can save your progress yourself by selecting the Main Menu highlighted below and selecting ""Save & Quit."""
CAM_TUT_NEW_START_MISSION,"There is one mission displayed on the Campaign Map: the next tutorial mission. To begin a mission, select that mission on the map. A window will open to display a description of the mission. Select ""Begin Mission"" to start the mission."
CAM_TUT_NEW_INTERMISSION_1B,"Good work with those Imperials! You have learned almost everything you need to know to play [i]Legends of the Alliance[/i]. Complete the final tutorial, and you’ll be ready to dive into a campaign!"
,""
CAM_TUT_NEW_INTERMISSION_1C,"Congratulations! You made it! You’re well on your way to becoming legends of the Alliance! Before you head out on your own, let’s talk briefly about campaigns. We’ll start with something fun: new gear! Select the Armory button below."
CAM_TUT_NEW_ARMORY,"This is the Armory. Here you can spend the credits you have earned over the course of the campaign to buy new weapons and modifications for your current weapons. You can even trade in your current weapons (except for starting weapons) at full value to purchase new ones."
CAM_TUT_NEW_ARMORY_2,"The weapons and modifications shown here are found in the Item deck. [b]Item cards[/b] are separated into three tiers, denoted by the numeral on the card’s back. The Armory shows you in which tier you can find each of these items."
CAM_TUT_NEW_MODS,"Modifications are a special type of [b]Item card[/b]. A modification must be attached to a weapon matching its icon ( or ). Each weapon has a limit to the number of modifications it can have attached. This limit is shown by a number of colored bars on the bottom-right corner of the weapon card."
CAM_TUT_NEW_ARMORY_3,"The Armory will receive a new set of [b]items[/b] after each mission, so be sure to check back in between missions. Note that the credit value printed on the Item cards may differ from those in the app. Ignore the printed price in these instances.\n\nSpend your credits, then select ""Leave"" to return to the Campaign Map."
CAM_TUT_NEW_HERO,"The Training Screen records the [b]Class cards[/b] and [b]Reward cards[/b] that each hero has earned. Select the ""Training Screen"" now."
CAM_TUT_NEW_HERO_2,"The Training Screen lists the cards earned for each hero. On the left side of the tracker is a list of the members of your squad. Selecting a hero’s portrait will display the cards for that hero. Any cards listed on the Training Screen [b]cannot[/b] be traded to another hero."
On the right side of the tracker is the Personal Inventory. This lists the hero’s starting weapon(s) and any [b]Reward cards[/b] the hero has earned.,""
CAM_TUT_NEW_CLASS,"The middle section of the tracker lists the hero’s [b]Class cards[/b]. Class cards provide additional [b]abilities[/b] for heroes to use. Class cards must be earned by a hero before the hero can use them."
CAM_TUT_NEW_CLASS_2,"Each hero earns one [b]Class card[/b] after each mission. Each class card has an XP number in the bottom-left corner. After the first mission, heroes unlock their 1 XP Class cards to choose from, and each subsequent mission unlocks the next XP level of Class cards."
CAM_TUT_NEW_CLASS_3,"Heroes with a blue icon next to their portrait are eligible to gain one or more [b]Class cards[/b]. For each of these heroes, select the hero's portrait to see that hero's Class cards. Glowing cards are available to be selected. Solid blue cards have already been selected. All other cards are locked."
